CO_PER_ROL,CONAME,CEOANN,AGE,TDC2,GVKEY,EXECID,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,SICDESC,INDDESC,SPCODE,TICKER,SPINDEX,SIC
33126,AMERICAN AIRLINES GROUP INC,CEO,51,21123.739,001045,26059,2013,2011-11-28,,2013-12-09,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,52,18975.528,001045,46191,2014,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,53,40613.399,001045,46191,2015,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,54,33447.381,001045,46191,2016,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,55,12534.586,001045,46191,2017,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,56,11999.517,001045,46191,2018,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,57,19353.061,001045,46191,2019,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,58,10657.505,001045,46191,2020,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49256,AMERICAN AIRLINES GROUP INC,CEO,59,7238.011,001045,46191,2021,2013-12-09,,2022-03-31,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49258,AMERICAN AIRLINES GROUP INC,CEO,58,4886.649,001045,46193,2022,2022-03-31,,,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
49258,AMERICAN AIRLINES GROUP INC,CEO,59,11938.162,001045,46193,2023,2022-03-31,,,"AIR TRANSPORTATION, SCHEDULED",Passenger Airlines,SP,AAL,2030,4512
27518,PINNACLE WEST CAPITAL CORP,CEO,58,7123.873,001075,05835,2013,2009-04-30,2002-12-01,2019-11-15,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
27518,PINNACLE WEST CAPITAL CORP,CEO,59,7376.177,001075,05835,2014,2009-04-30,2002-12-01,2019-11-15,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
27518,PINNACLE WEST CAPITAL CORP,CEO,60,7833.951,001075,05835,2015,2009-04-30,2002-12-01,2019-11-15,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
27518,PINNACLE WEST CAPITAL CORP,CEO,61,9240.37,001075,05835,2016,2009-04-30,2002-12-01,2019-11-15,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
27518,PINNACLE WEST CAPITAL CORP,CEO,62,8161.669,001075,05835,2017,2009-04-30,2002-12-01,2019-11-15,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
27518,PINNACLE WEST CAPITAL CORP,CEO,63,9935.099,001075,05835,2018,2009-04-30,2002-12-01,2019-11-15,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
27518,PINNACLE WEST CAPITAL CORP,CEO,64,9560.511,001075,05835,2019,2009-04-30,2002-12-01,2019-11-15,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
61549,PINNACLE WEST CAPITAL CORP,CEO,54,6066.485,001075,56357,2020,2019-11-15,,,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
61549,PINNACLE WEST CAPITAL CORP,CEO,55,7078.319,001075,56357,2021,2019-11-15,,,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
61549,PINNACLE WEST CAPITAL CORP,CEO,56,4710.614,001075,56357,2022,2019-11-15,,,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
61549,PINNACLE WEST CAPITAL CORP,CEO,57,3753.703,001075,56357,2023,2019-11-15,,,ELECTRIC SERVICES,Electric Utilities,SP,PNW,5510,4911
13896,ABBOTT LABORATORIES,CEO,58,24601.316,001078,14300,2013,1999-01-01,1984-01-01,2020-03-31,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
13896,ABBOTT LABORATORIES,CEO,59,20455.904,001078,14300,2014,1999-01-01,1984-01-01,2020-03-31,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
13896,ABBOTT LABORATORIES,CEO,60,23395.338,001078,14300,2015,1999-01-01,1984-01-01,2020-03-31,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
13896,ABBOTT LABORATORIES,CEO,61,21033.022,001078,14300,2016,1999-01-01,1984-01-01,2020-03-31,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
13896,ABBOTT LABORATORIES,CEO,62,26268.164,001078,14300,2017,1999-01-01,1984-01-01,2020-03-31,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
13896,ABBOTT LABORATORIES,CEO,63,30457.313,001078,14300,2018,1999-01-01,1984-01-01,2020-03-31,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
13896,ABBOTT LABORATORIES,CEO,64,46549.146,001078,14300,2019,1999-01-01,1984-01-01,2020-03-31,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
59834,ABBOTT LABORATORIES,CEO,46,10675.329,001078,54877,2020,2020-03-31,,,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
59834,ABBOTT LABORATORIES,CEO,47,13469.565,001078,54877,2021,2020-03-31,,,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
59834,ABBOTT LABORATORIES,CEO,48,19395.873,001078,54877,2022,2020-03-31,,,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
59834,ABBOTT LABORATORIES,CEO,49,12165.242,001078,54877,2023,2020-03-31,,,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,Health Care Equipment,SP,ABT,3510,3845
45026,ADVANCED MICRO DEVICES,CEO,52,6629.079,001161,42390,2013,2011-08-25,,2014-10-08,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
45026,ADVANCED MICRO DEVICES,CEO,53,6112.46,001161,42390,2014,2011-08-25,,2014-10-08,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,45,4754.336,001161,37809,2015,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,46,9316.655,001161,37809,2016,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,47,13939.733,001161,37809,2017,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,48,16917.047,001161,37809,2018,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,49,72697.166,001161,37809,2019,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,50,100335.383,001161,37809,2020,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,51,125251.93,001161,37809,2021,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,52,85947.338,001161,37809,2022,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
46953,ADVANCED MICRO DEVICES,CEO,53,123065.368,001161,37809,2023,2014-08-10,,,SEMICONDUCTORS AND RELATED DEVICES,Semiconductors,SP,AMD,4530,3674
28244,AIR PRODUCTS & CHEMICALS INC,CEO,59,11222.089,001209,27315,2013,2008-01-01,1976-01-01,2014-07-01,INDUSTRIAL INORGANIC CHEMICALS,Industrial Gases,SP,APD,1510,2810
