gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,sale,cik,costat,prcc_c,sic
001045,2010-12-31,2010,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,22170.0000,0000006201,A,7.790000000000,4512
001045,2011-12-31,2011,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,24022.0000,0000006201,A,0.350000000000,4512
001045,2012-12-31,2012,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,24855.0000,0000006201,A,0.795000000000,4512
001045,2013-12-31,2013,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,26712.0000,0000006201,A,25.250000000000,4512
001045,2014-12-31,2014,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,42650.0000,0000006201,A,53.630000000000,4512
001045,2015-12-31,2015,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,40990.0000,0000006201,A,42.350000000000,4512
001045,2016-12-31,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,40180.0000,0000006201,A,46.690000000000,4512
001045,2017-12-31,2017,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,42207.0000,0000006201,A,52.030000000000,4512
001045,2018-12-31,2018,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,44541.0000,0000006201,A,32.110000000000,4512
001045,2019-12-31,2019,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,45768.0000,0000006201,A,28.680000000000,4512
001045,2020-12-31,2020,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,17337.0000,0000006201,A,15.770000000000,4512
001045,2021-12-31,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,29882.0000,0000006201,A,17.960000000000,4512
001045,2022-12-31,2022,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,48971.0000,0000006201,A,12.720000000000,4512
001045,2023-12-31,2023,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,52788.0000,0000006201,A,13.740000000000,4512
001075,2010-12-31,2010,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3263.6450,0000764622,A,41.450000000000,4911
001075,2011-12-31,2011,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3241.3790,0000764622,A,48.180000000000,4911
001075,2012-12-31,2012,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3301.8040,0000764622,A,50.980000000000,4911
001075,2013-12-31,2013,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3454.6280,0000764622,A,52.920000000000,4911
001075,2014-12-31,2014,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3491.6320,0000764622,A,68.310000000000,4911
001075,2015-12-31,2015,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3495.4430,0000764622,A,64.480000000000,4911
001075,2016-12-31,2016,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3498.6820,0000764622,A,78.030000000000,4911
001075,2017-12-31,2017,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3565.2960,0000764622,A,85.180000000000,4911
001075,2018-12-31,2018,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3691.2470,0000764622,A,85.200000000000,4911
