permno,adate,qdate,public_date,bm,roa,TICKER
10104,2012-05-31,2012-11-30,2013-01-31,0.281,0.228,ORCL
10104,2012-05-31,2012-11-30,2013-02-28,0.281,0.228,ORCL
10104,2012-05-31,2012-11-30,2013-03-31,0.281,0.228,ORCL
10104,2012-05-31,2013-02-28,2013-04-30,0.268,0.223,ORCL
10104,2012-05-31,2013-02-28,2013-05-31,0.268,0.223,ORCL
10104,2012-05-31,2013-02-28,2013-06-30,0.268,0.223,ORCL
10104,2013-05-31,2013-05-31,2013-07-31,0.286,0.216,ORCL
10104,2013-05-31,2013-05-31,2013-08-31,0.286,0.216,ORCL
10104,2013-05-31,2013-05-31,2013-09-30,0.286,0.216,ORCL
10104,2013-05-31,2013-08-31,2013-10-31,0.299,0.220,ORCL
10104,2013-05-31,2013-08-31,2013-11-30,0.299,0.220,ORCL
10104,2013-05-31,2013-08-31,2013-12-31,0.299,0.220,ORCL
10104,2013-05-31,2013-11-30,2014-01-31,0.274,0.214,ORCL
10104,2013-05-31,2013-11-30,2014-02-28,0.274,0.214,ORCL
10104,2013-05-31,2013-11-30,2014-03-31,0.274,0.214,ORCL
10104,2013-05-31,2014-02-28,2014-04-30,0.255,0.213,ORCL
10104,2013-05-31,2014-02-28,2014-05-31,0.255,0.213,ORCL
10104,2013-05-31,2014-02-28,2014-06-30,0.255,0.213,ORCL
10104,2014-05-31,2014-05-31,2014-07-31,0.251,0.207,ORCL
10104,2014-05-31,2014-05-31,2014-08-31,0.251,0.207,ORCL
10104,2014-05-31,2014-05-31,2014-09-30,0.251,0.207,ORCL
10104,2014-05-31,2014-08-31,2014-10-31,0.257,0.205,ORCL
10104,2014-05-31,2014-08-31,2014-11-30,0.257,0.205,ORCL
10104,2014-05-31,2014-08-31,2014-12-31,0.257,0.205,ORCL
10104,2014-05-31,2014-11-30,2015-01-31,0.255,0.199,ORCL
10104,2014-05-31,2014-11-30,2015-02-28,0.255,0.199,ORCL
10104,2014-05-31,2014-11-30,2015-03-31,0.255,0.199,ORCL
10104,2014-05-31,2015-02-28,2015-04-30,0.251,0.190,ORCL
10104,2014-05-31,2015-02-28,2015-05-31,0.251,0.190,ORCL
10104,2014-05-31,2015-02-28,2015-06-30,0.251,0.190,ORCL
10104,2015-05-31,2015-05-31,2015-07-31,0.260,0.170,ORCL
10104,2015-05-31,2015-05-31,2015-08-31,0.260,0.170,ORCL
10104,2015-05-31,2015-05-31,2015-09-30,0.260,0.170,ORCL
10104,2015-05-31,2015-08-31,2015-10-31,0.297,0.164,ORCL
10104,2015-05-31,2015-08-31,2015-11-30,0.297,0.164,ORCL
10104,2015-05-31,2015-08-31,2015-12-31,0.297,0.164,ORCL
10104,2015-05-31,2015-11-30,2016-01-31,0.280,0.154,ORCL
10104,2015-05-31,2015-11-30,2016-02-29,0.280,0.154,ORCL
10104,2015-05-31,2015-11-30,2016-03-31,0.280,0.154,ORCL
10104,2015-05-31,2016-02-29,2016-04-30,0.300,0.147,ORCL
10104,2015-05-31,2016-02-29,2016-05-31,0.300,0.147,ORCL
10104,2015-05-31,2016-02-29,2016-06-30,0.300,0.147,ORCL
10104,2016-05-31,2016-05-31,2016-07-31,0.286,0.139,ORCL
10104,2016-05-31,2016-05-31,2016-08-31,0.286,0.139,ORCL
10104,2016-05-31,2016-05-31,2016-09-30,0.286,0.139,ORCL
10104,2016-05-31,2016-08-31,2016-10-31,0.280,0.142,ORCL
10104,2016-05-31,2016-08-31,2016-11-30,0.280,0.142,ORCL
10104,2016-05-31,2016-08-31,2016-12-31,0.280,0.142,ORCL
10104,2016-05-31,2016-11-30,2017-01-31,0.294,0.138,ORCL
10104,2016-05-31,2016-11-30,2017-02-28,0.294,0.138,ORCL
10104,2016-05-31,2016-11-30,2017-03-31,0.294,0.138,ORCL
10104,2016-05-31,2017-02-28,2017-04-30,0.289,0.133,ORCL
