,Ticker Symbol,Company Name_x,CIK Code,GICS Sector,Industry,SASB Industry Classification,Topic
0,MMM,3M,0000066740,Industrials,Industrial Conglomerates,Chemicals,"['Water Management', 'Greenhouse Gas Emissions', 'Energy Management', 'Safety & Environmental Stewardship of Chemicals', 'Hazardous Waste Management']"
1,AOS,A. O. Smith,0000091142,Industrials,Building Products,Electrical And Electronic Equipment,"['Product Lifecycle Management', 'Energy Management', 'Hazardous Waste Management']"
2,ABT,Abbott,0000001800,Health Care,Health Care Equipment,Medical Equipment And Supplies,['Product Design & Lifecycle Management']
3,ABBV,AbbVie,0001551152,Health Care,Biotechnology,Biotechnology And Pharmaceuticals,[]
4,ACN,Accenture,0001467373,Information Technology,IT Consulting & Other Services,Software And It Services,['Environmental Footprint of Hardware Infrastructure']
5,ADBE,Adobe Inc.,0000796343,Information Technology,Application Software,Software And It Services,['Environmental Footprint of Hardware Infrastructure']
6,AMD,Advanced Micro Devices,0000002488,Information Technology,Semiconductors,Apparel Accessories And Footwear,"['Management of Chemicals in Products', 'Environmental Impacts in the Supply Chain']"
7,AES,AES Corporation,0000874761,Utilities,Independent Power Producers & Energy Traders,Electric Utilities And Power Generators,"['Water Management', 'Greenhouse Gas Emissions & Energy Resource Planning']"
8,AFL,Aflac,0000004977,Financials,Life & Health Insurance,Insurance,"['Financed Emissions', 'Incorporation of Environmental, Social and Governance Factors in Investment Management']"
9,A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,Medical Equipment And Supplies,['Product Design & Lifecycle Management']
10,APD,Air Products and Chemicals,0000002969,Materials,Industrial Gases,Chemicals,"['Water Management', 'Greenhouse Gas Emissions', 'Energy Management', 'Safety & Environmental Stewardship of Chemicals', 'Hazardous Waste Management']"
11,ABNB,Airbnb,0001559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Internet Media And Services,['Environmental Footprint of Hardware Infrastructure']
12,AKAM,Akamai,0001086222,Information Technology,Internet Services & Infrastructure,Software And It Services,['Environmental Footprint of Hardware Infrastructure']
13,ALB,Albemarle Corporation,0000915913,Materials,Specialty Chemicals,Chemicals,"['Water Management', 'Greenhouse Gas Emissions', 'Energy Management', 'Safety & Environmental Stewardship of Chemicals', 'Hazardous Waste Management']"
14,ARE,Alexandria Real Estate Equities,0001035443,Real Estate,Office REITs,Real Estate,"['Energy Management', 'Water Management', 'Management of Tenant Sustainability Impacts']"
15,ALGN,Align Technology,0001097149,Health Care,Health Care Supplies,Medical Equipment And Supplies,['Product Design & Lifecycle Management']
